"varType","varName","index","minVal","maxVal","description","label","units","prefix","bg","col","fg","lty","lwd","pch","cex"
"hcr","lowerB",1,0,100,"Lower bound of HCR","Lower Bound","metric tons",".HCRLB","red","black","black",3,1,24,1.4
"hcr","upperB",1,0,100,"Upper bound of HCR","Upper Bound","metric tons",".HCRUB","yellow","black","black",3,1,24,1.4
"hcr","Bref",1,0,100,"Target biomass control point","Bref","metric tons",".Bref","green","green","black",1,1,21,1.4
"hcr","Fref",1,0,10,"Target F control point","Fref","",".Fref","green","green","black",1,1,21,1.4
"hcr","Fhcr",1,0,10,"Harvest control rule F","Fhcr","",".Fhcr","green","green","black",1,1,21,1.4
"refPts","B0",1,0,100,"Unfished spawning biomass","B0","metric tons",".B0","gray51","gray51","black",4,1,21,1.4
"refPts","Bmsy",1,0,100,"Spawning biomass at MSY","Bmsy","metric tons",".Bmsy","green3","green3","black",4,2,21,1.4
"refPts","F0",1,0,10,"Fishing mortality F0","F0","",".F0","purple","purple","black",3,2,21,1.4
"refPts","F01",1,0,10,"Fishing mortality F0.1","F0.1","",".F01","aquamarine","aquamarine","black",3,2,21,1.4
"refPts","Fcra",1,0,10,"Fishing mortality Fcrash","Fcra","",".Fcra","black","black","black",3,2,21,1.4
"refPts","Fmax",1,0,10,"Fishing mortality Fmax","Fmax","",".Fmax","red","red","black",3,2,21,1.4
"refPts","FsprX",1,0,10,"Fishing mortality FsprX%","FsprX","",".Fspr","steelblue1","steelblue1","black",3,2,21,1.4
"refPts","Fmsy",1,0,10,"Fishing mortality Fmsy","Fmsy","",".Fmsy","green3","green3","black",3,2,21,1.4
"refPts","U0",1,0,10,"Harvest rate U0","U0","",".U0","purple","purple","black",1,2,21,1.4
"refPts","U01",1,0,10,"Harvest rate U01","U01","",".U01","aquamarine","aquamarine","black",1,2,21,1.4
"refPts","Ucra",1,0,10,"Harvest rate Ucra","Ucra","",".Ucra","black","black","black",1,2,21,1.4
"refPts","Umax",1,0,10,"Harvest rate Umax","Umax","",".Umax","red","red","black",1,2,21,1.4
"refPts","UsprX",1,0,10,"Harvest rate UsprX","UsprX","",".Uspr","steelblue1","steelblue1","black",1,2,21,1.4
"refPts","Umsy",1,0,10,"Harvest rate at MSY","Umsy","",".Umsy","green3","green3","black",4,2,21,1.4
"refPts","Uleg",1,0,10,"Legal harvest rate at Fmsy","Uleg","",".Uleg","orange","orange","black",4,2,21,1.4
"refPts","MSY",1,0,100,"Maximum sustainable yield","MSY","metric tons",".MSY","green3","green3","black",4,2,21,1.4
"objectives","CriticalZone",1,0,100,"DFO Critical Zone","Critical Zone","metric tons",".Critical","pink","pink","black",1,2,21,1.4
"objectives","CautiousZone",1,0,100,"DFO Cautious Zone","Cautious Zone","metric tons",".Cautious","yellow","yellow","black",1,2,21,1.4
"objectives","HealthyZone",1,0,1000,"DFO Healthy Zone","Healthy Zone","metric tons",".Healthy","green","green","black",1,2,21,1.4
"objectives","LRP",1,0,100,"Limit reference point","LRP","metric tons",".Lrp","pink","black","black",3,2,21,1.4
"objectives","USR",1,0,100,"Upper stock reference point","USR","metric tons",".Usr","yellow","black","black",3,2,21,1.4
"objectives","TRP",1,0,100,"Target reference point","TRP","metric tons",".Trp","green","black","black",3,2,21,1.4
"common","MP",1,0,0,"MP","Management procedure","",".Mp","white","black","black",2,1,21,1.4
"common","OM",1,0,0,"OM","Operating model","",".Om","red","red","black",2,1,21,1.4
"objectives","Obj1Dep",1,0,10,"Objective 1 depletion","Objective 1 Depletion","",".Obj1Dep","red","red","black",2,2,21,1.6
"objectives","Obj1Prob",1,0,1,"Objective 1 probability","Objective 1 Probability","",".Obj1Prob","magenta","magenta","black",2,2,21,1.6
"objectives","Obj1Yr",1,1,100,"Objective 1 year","Objective 1 Year","",".Obj1Yr","deepskyblue","deepskyblue","black",2,2,21,1.6
"objectives","Obj2Dep",1,0,10,"Objective 2 depletion","Objective 2 Depletion","",".Obj2Dep","red","red","black",2,2,21,1.6
"objectives","Obj2Prob",1,0,1,"Objective 2 probability","Objective 2 Probability","",".Obj2Prob","magenta","magenta","black",2,2,21,1.6
"objectives","Obj2Yr",1,1,100,"Objective 2 year","Objective 2 Year","",".Obj2Yr","deepskyblue","deepskyblue","black",2,2,21,1.6
"objectives","Obj3Dep",1,0,10,"Objective 3 depletion","Objective 3 Depletion","",".Obj3Dep","red","red","black",2,2,21,1.6
"objectives","Obj3Prob",1,0,1,"Objective 3 probability","Objective 3 Probability","",".Obj3Prob","magenta","magenta","black",2,2,21,1.6
"objectives","Obj3Yr",1,1,100,"Objective 3 year","Objective 3 Year","",".Obj3Yr","deepskyblue","deepskyblue","black",2,2,21,1.6
"hcr","HCR",1,0,0,"Harvest control rule","Harvest control rule","",".Hcr","white","black","black",1,2,21,1
"common","LifeHist",1,0,0,"Life history","Life history","",".Lh","white","black","black",1,2,21,1.4
"common","LifeHist",1,0,1,"Maturity at age","Maturity at age","",".Mat","white","black","black",1,2,21,1.4
"common","LifeHist",1,1,100,"Age","Age","years",".Age","white","black","black",1,2,21,1.4
"common","LifeHist",1,0,100,"Length","Length","cm",".Len","white","black","black",1,2,21,1.4
"common","LifeHist",1,0,10,"Weight","Weight","kg",".Wgt","white","black","black",1,2,21,1.4
"common","Period1",1,0,0,"Period 1","Period 1","",".Per1","white","black","black",1,2,21,1.4
"common","Period2",1,0,0,"Period 2","Period 2","",".Per2","gray","gray","black",1,2,21,1.4
